gene_id	n_exons	b	abs_b	type
STRG.10452	15	-0.809154021	0.809154021	mero
STRG.10452	15	-0.793028733	0.793028733	holo
STRG.10452	15	-0.612370644	0.612370644	holo
STRG.10452	15	-0.586196132	0.586196132	holo
STRG.10452	15	0.676575959	0.676575959	para
STRG.10452	15	0.857249076	0.857249076	para
STRG.10452	15	0.933544931	0.933544931	para
STRG.10456	11	0.588317474	0.588317474	para
STRG.10456	11	0.674123937	0.674123937	para
STRG.10462	18	1.731858651	1.731858651	holo
STRG.10464	11	-1.867258822	1.867258822	holo
STRG.10464	11	2.078561293	2.078561293	holo
STRG.10470	15	-0.756598167	0.756598167	para
STRG.10472	12	-4.986897205	4.986897205	holo
STRG.10475	41	-0.83212094	0.83212094	para
STRG.10477	6	-0.713735995	0.713735995	para
STRG.10477	6	0.396449489	0.396449489	para
STRG.10477	6	0.532826478	0.532826478	para
STRG.10477	6	0.840537463	0.840537463	holo
STRG.10480	19	-0.707172591	0.707172591	para
STRG.10480	19	-0.482454005	0.482454005	holo
STRG.10480	19	0.445623155	0.445623155	para
STRG.10482	16	0.645445226	0.645445226	para
STRG.10485	5	-0.482454005	0.482454005	holo
STRG.10486	14	-0.891080471	0.891080471	holo
STRG.10486	14	1.012785163	1.012785163	para
STRG.10487	8	-2.929840308	2.929840308	holo
STRG.10487	8	0.588317474	0.588317474	para
STRG.10511	6	-3.417329819	3.417329819	mero
STRG.10511	6	-2.837959175	2.837959175	para
STRG.10511	6	0.419485411	0.419485411	holo
STRG.10512	12	0.340644335	0.340644335	para
STRG.10512	12	1.175324537	1.175324537	holo
STRG.10514	15	-0.405874466	0.405874466	holo
STRG.10514	15	0.392360394	0.392360394	para
STRG.10523	23	-0.891080471	0.891080471	holo
STRG.10523	23	1.012785163	1.012785163	para
STRG.10524	31	-0.417977088	0.417977088	para
STRG.1053	47	-0.330622274	0.330622274	para
STRG.10531	23	0.446462693	0.446462693	para
STRG.10534	33	-0.54130116	0.54130116	para
STRG.10539	5	-2.259250577	2.259250577	para
STRG.10539	5	-0.638795606	0.638795606	para
STRG.10539	5	-0.279553503	0.279553503	holo
STRG.10539	5	0.416210006	0.416210006	para
STRG.10542	7	0.381679951	0.381679951	para
STRG.10542	7	0.566308202	0.566308202	holo
STRG.10542	7	0.571246425	0.571246425	para
STRG.10542	7	0.782899573	0.782899573	para
STRG.10548	5	0.404592099	0.404592099	para
STRG.10566	42	-0.371308559	0.371308559	holo
STRG.10566	42	0.694953011	0.694953011	para
STRG.10575	22	-0.778418418	0.778418418	para
STRG.10575	22	1.238832565	1.238832565	holo
STRG.10583	7	-2.795353146	2.795353146	holo
STRG.10591	17	-0.939929973	0.939929973	para
STRG.10597	11	0.562077471	0.562077471	para
STRG.106	14	0.820108808	0.820108808	para
STRG.106	14	0.89685485	0.89685485	mero
STRG.106	14	1.020491275	1.020491275	holo
STRG.10620	16	-0.596758263	0.596758263	para
STRG.10626	6	-0.939929973	0.939929973	para
STRG.10626	6	1.075640589	1.075640589	holo
STRG.1063	13	-0.823123931	0.823123931	holo
STRG.10651	7	-3.64507292	3.64507292	mero
STRG.10651	7	-2.67156568	2.67156568	holo
STRG.10651	7	-2.528386053	2.528386053	mero
STRG.10656	6	-2.795353146	2.795353146	holo
STRG.10656	6	0.676338977	0.676338977	para
STRG.10659	7	0.455236052	0.455236052	para
STRG.10661	13	-0.669499454	0.669499454	mero
STRG.10661	13	-0.579041298	0.579041298	para
STRG.10661	13	0.566308202	0.566308202	holo
STRG.10661	13	0.571246425	0.571246425	para
STRG.10661	13	5.04967827	5.04967827	holo
STRG.10665	21	-0.707172591	0.707172591	para
STRG.10673	15	2.078561293	2.078561293	holo
STRG.10676	20	0.694953011	0.694953011	para
STRG.10678	31	-0.568896763	0.568896763	holo
STRG.10681	11	-1.904509057	1.904509057	holo
STRG.10681	11	-0.456168698	0.456168698	holo
STRG.10681	11	3.06559981	3.06559981	holo
