target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
STRG.14294.1_9	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.14423.1_10	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.14523.1_11	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.14560.1_5	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.14832.1_4	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.15010.1_3	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.15027.1	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.15364.1_1	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.15413.1_2	5.76857758827238e-132	1.85493099022356e-127	-4.72319859332109	0.193221917622958	3.0339463644989	5.13229892063632	0.00318963604095031	0.032358214932145	0.0528124281338893	0.0528124281338893
STRG.13163.2	6.53976740475527e-118	1.89262176647099e-113	-7.25568850902493	0.314302170862595	5.00766348607303	10.7947170766765	0.131110908721428	0.0145823445693475	0.0170678731919823	0.0170678731919823
STRG.5861.10	2.79962350336888e-98	7.36560582838147e-94	-6.56447938983507	0.311993929803554	4.45696698760347	11.0372451710465	0.0568895108674327	0.0891208074839649	0.0211252867357256	0.0891208074839649
STRG.5632.8	3.48173832142783e-92	8.39685028081547e-88	-7.10660488112524	0.348977073245272	4.944801197104	12.9452143262419	0.0878589767084633	0.0948185197677903	0.0174067531218305	0.0948185197677903
STRG.6000.10	6.32565995159005e-91	1.40819895485389e-86	-6.86357738204062	0.339418859629361	4.48516096462116	11.1876580738842	0.0565628352117627	0.116244908196381	0.0208488716349242	0.116244908196381
STRG.12887.2	2.30588811268233e-86	4.76663308276066e-82	-7.01165508449924	0.355982991212977	4.59765406926415	9.52640258489719	0.153464440523252	0.036621394526156	0.0198293027410767	0.036621394526156
STRG.12276.2_5	8.23648516093038e-82	1.58910351902905e-77	-6.5200029226721	0.340320829007578	4.1478747772053	8.34868847135017	0.148927435744907	-0.0219015858043546	0.0247999642397006	0.0247999642397006
STRG.12478.3_4	6.64483639684256e-78	1.20189308932439e-73	-6.26573319365538	0.33534754755658	4.27356202077799	8.31778395774553	0.145536425618483	-0.0592693079999133	0.0231505408598356	0.0231505408598356
STRG.12478.2_9	2.13985653650429e-77	3.64281624339656e-73	-7.38860800154381	0.396772402523483	4.66764014364032	9.94906035527471	0.216884627456814	-0.125715028857284	0.0192578816495714	0.0192578816495714
STRG.9412.4_2	5.72615656819617e-77	9.20645090638393e-73	-5.48868639636223	0.295583337110518	3.67616909263865	7.8672134051466	0.0974989131036825	0.033555350662403	0.0334466167120839	0.033555350662403
STRG.11015.3_1	2.74533312598859e-63	4.18160472277553e-59	-7.04850754751497	0.41972851423676	4.29789499147358	9.39219115941892	0.0278809867543355	0.236377051740761	0.0228577518157926	0.236377051740761
STRG.5873.1_9	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.5918.1_10	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.5960.1_5	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.5996.1_11	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.6110.1_4	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.6117.1_3	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.6165.1	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.6259.1_2	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.6263.1_6	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.6291.1_1	1.78255555402489e-48	1.77887980153763e-44	-4.58295858182434	0.313237050453242	2.94199476421542	8.81986808156354	0.0916135803660424	-0.0151553519497663	0.0555625942989283	0.0555625942989283
STRG.22752.1_4	1.56214933479136e-40	1.50696380595763e-36	-3.96758093771462	0.297657088403134	2.28932114484575	3.3001689646819	0.045158750653066	0.0304814318498995	0.0877408627618808	0.0877408627618808
STRG.4733.1_11	4.61093185933651e-38	4.30455774824421e-34	-4.58335583440805	0.35535014238575	2.44737599212441	5.69140774487274	0.116271123468279	0.00663183870518315	0.0731394620720804	0.0731394620720804
STRG.15151.2	9.77610280671263e-35	8.84132407646327e-31	-6.45246510506975	0.524853904800142	4.32900101966388	8.7141643220683	0.39071277574219	-0.322337935952498	0.0224946563337448	0.0224946563337448
STRG.9582.2_2	3.24630108703693e-29	2.84692735512322e-25	-7.28747344062412	0.649497348954083	4.57172081078478	10.1418028695953	0.186347232825409	0.446422976622164	0.0200529558085713	0.446422976622164
STRG.8832.1_9	3.1431963941299e-28	2.67543330251171e-24	-1.45621642725466	0.132171807248772	5.77645237438062	0.497980032512315	0.0119689763453108	0.0142351036017989	0.0141776642344092	0.0142351036017989
STRG.6729.1_6	1.52985477262119e-26	1.26498008830319e-22	2.10626456496549	0.197545579397856	3.98551011872783	0.769045744271363	0.0300652564469163	0.0284711274625356	0.0273343541050991	0.0284711274625356
STRG.4593.2_3	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
STRG.4633.2_5	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
STRG.4700.2_2	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
STRG.4733.2_5	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
STRG.4768.1_4	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
STRG.4793.2	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
STRG.4875.2_2	4.04114521382028e-26	2.71980350504655e-22	-4.34154484024916	0.410685105105465	1.97640009646613	6.07018191313616	0.0505547251576442	0.202438658175586	0.152916427454906	0.202438658175586
